,point,Large_Std_TMY_PASSIVE,Large_Std_2070_PASSIVE,Large_Med_TMY_PASSIVE,Large_Med_2070_PASSIVE,Large_High_TMY_PASSIVE,Large_High_2070_PASSIVE
94,"[42.5, 10.5, 0.800000011920929]",21.39,23.22,20.97,21.61,16.11,17.79
95,"[42.5, 11.5, 0.800000011920929]",23.39,25.38,20.3,22.71,16.84,18.04
96,"[43.5, 0.5, 0.800000011920929]",18.29,22.39,16.68,21.04,15.52,17.53
97,"[43.5, 1.5, 0.800000011920929]",18.15,22.31,16.57,20.95,15.42,17.47
98,"[43.5, 2.5, 0.800000011920929]",18.12,22.29,16.54,20.93,15.39,17.45
99,"[43.5, 3.5, 0.800000011920929]",18.12,22.28,16.54,20.92,15.39,17.45
100,"[43.5, 4.5, 0.800000011920929]",21.26,22.29,16.55,20.93,15.39,17.45
101,"[43.5, 5.5, 0.800000011920929]",21.27,22.31,20.96,20.94,15.42,17.47
102,"[43.5, 6.5, 0.800000011920929]",21.05,22.33,20.69,20.96,15.45,17.49
103,"[43.5, 7.5, 0.800000011920929]",21.41,22.39,20.71,21.0,15.5,17.52
104,"[43.5, 8.5, 0.800000011920929]",21.36,22.51,20.99,21.04,15.58,17.58
