,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
370,1.6,Small,Standard,TMY,PASSIVE
371,2.59,Small,Standard,TMY,PASSIVE
372,2.76,Small,Standard,TMY,PASSIVE
373,2.43,Small,Standard,TMY,PASSIVE
374,1.77,Small,Standard,TMY,PASSIVE
375,1.03,Small,Standard,TMY,PASSIVE
376,0.59,Small,Standard,TMY,PASSIVE
377,0.32,Small,Standard,TMY,PASSIVE
378,-0.13,Small,Standard,TMY,PASSIVE
379,-0.24,Small,Standard,TMY,PASSIVE
380,-0.23,Small,Standard,TMY,PASSIVE
381,-0.22,Small,Standard,TMY,PASSIVE
382,-0.22,Small,Standard,TMY,PASSIVE
383,-0.24,Small,Standard,TMY,PASSIVE
384,-0.25,Small,Standard,TMY,PASSIVE
385,-0.26,Small,Standard,TMY,PASSIVE
386,-0.28,Small,Standard,TMY,PASSIVE
387,-0.3,Small,Standard,TMY,PASSIVE
388,-0.36,Small,Standard,TMY,PASSIVE
389,-0.25,Small,Standard,TMY,PASSIVE
390,0.33,Small,Standard,TMY,PASSIVE
391,0.43,Small,Standard,TMY,PASSIVE
392,0.54,Small,Standard,TMY,PASSIVE
393,0.9,Small,Standard,TMY,PASSIVE
394,1.22,Small,Standard,TMY,PASSIVE
395,1.48,Small,Standard,TMY,PASSIVE
396,1.35,Small,Standard,TMY,PASSIVE
397,1.2,Small,Standard,TMY,PASSIVE
398,0.88,Small,Standard,TMY,PASSIVE
399,0.53,Small,Standard,TMY,PASSIVE
400,0.19,Small,Standard,TMY,PASSIVE
401,0.18,Small,Standard,TMY,PASSIVE
402,-0.14,Small,Standard,TMY,PASSIVE
403,-0.24,Small,Standard,TMY,PASSIVE
404,-0.21,Small,Standard,TMY,PASSIVE
405,-0.2,Small,Standard,TMY,PASSIVE
406,-0.2,Small,Standard,TMY,PASSIVE
407,-0.23,Small,Standard,TMY,PASSIVE
408,-0.28,Small,Standard,TMY,PASSIVE
409,-0.31,Small,Standard,TMY,PASSIVE
